dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,1.0790465438706534,0.8480913488345603,0.8623425164639087,0.9126361074691717,0.9624016866154103,18.798202753067017,0.054940223693847656,1.452101,1.4298174,0.21210000000000004
mnist,tsne,0,777,60.65031148856027,0.8568222823636195,0.871300938829222,0.9239223152417355,0.966312365495633,43.38455629348755,0.051035165786743164,23.934198,23.389208,0.32904999999999995
fmnist,umap,0,777,0.2348973343202046,0.9280185331542719,0.9383829213689144,0.9627415939333238,0.9841210794805831,24.750236749649048,0.04892253875732422,1.0116289,0.9486207,0.1056
fmnist,tsne,0,777,31.9268943132673,0.926998806436525,0.9427163069957338,0.9654248045762875,0.9844659187469522,40.86857271194458,0.051300048828125,11.838556,10.4804,0.14584999999999998
blobs,umap,0,777,0.4602966904640198,0.8726545031848975,0.87877221155423,0.9636757624398073,0.9651364365971108,1.6507182121276855,0.010954141616821289,0.5447289,0.028778603,0.0
blobs,tsne,0,777,7.345185279846191,0.9158019847483173,0.9103485898584589,0.9634831460674157,0.9675441412520064,1.1013226509094238,0.01070261001586914,2.2278602,0.20146973,0.0
har,umap,0,777,0.4981821225928983,0.9000989058871512,0.9079508458401901,0.9448474054995422,0.9597351840833327,8.781738519668579,0.024704456329345703,0.39515027,0.06216401,0.004333333333333334
har,tsne,0,777,23.364044244953085,0.8745570917391405,0.8804358194943782,0.9517290330293126,0.963025753463364,10.59685754776001,0.029538393020629883,4.750673,0.62766105,0.02625
mnist,umap,1,778,0.7303582547051566,0.8586531138215737,0.8666142867990533,0.9268928929133536,0.9676125223018095,28.016225814819336,0.04887509346008301,2.0526376,1.9969887,0.30300000000000005
mnist,tsne,1,778,59.1181557094029,0.8576850157515931,0.8711533113053822,0.9245209702710674,0.9671359833674491,65.84482288360596,0.051894426345825195,22.604275,22.110682,0.2313
fmnist,umap,1,778,0.40364279781069073,0.9255235097268879,0.9360644324302684,0.9597067374095153,0.9823149730918265,20.030678749084473,0.05210280418395996,0.91754663,0.80615586,0.08535000000000001
fmnist,tsne,1,778,33.91479237583705,0.9264773192518718,0.9412548147341598,0.9667027369539889,0.9834606947944438,78.12686467170715,0.05148029327392578,9.693474,8.588797,0.1258
blobs,umap,1,778,0.48421141505241394,0.8913667036437076,0.876524615680984,0.9601123595505618,0.9618940609951846,1.3433194160461426,0.010181903839111328,0.5552677,0.04552076,0.0
blobs,tsne,1,778,6.614786148071289,0.9150930261889151,0.9192926702961544,0.9648475120385233,0.9702407704654896,1.0757346153259277,0.011281251907348633,2.3195753,0.24397907,0.0
har,umap,1,778,0.5559226376240284,0.8907028883718624,0.8998025831269616,0.942281704146256,0.9586313089736379,8.471099376678467,0.027463436126708984,0.4735142,0.080216296,0.0275
har,tsne,1,778,26.04972361870811,0.8706087427705925,0.8756605626828199,0.9494545829971174,0.9636570244004489,10.26899790763855,0.025487899780273438,4.9249864,0.7148759,0.006916666666666667
mnist,umap,2,779,0.7119109260354723,0.8601491378888205,0.8645420656509014,0.930609754103387,0.9666576924087706,24.85970449447632,0.04900670051574707,1.5667288,1.5229952,0.2052
mnist,tsne,2,779,65.96745037405832,0.8552595361070732,0.8715936688683491,0.9204380265198081,0.9665122889905712,42.28214144706726,0.048911094665527344,25.645788,25.336323,0.27765000000000006
fmnist,umap,2,779,0.2532424270595823,0.9241085538975906,0.9375481180399311,0.9576818615842388,0.9833084234409174,16.62558627128601,0.05061030387878418,1.0818999,0.9605424,0.13165
