dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.7368957690511431,0.8602296778242313,0.8653653796578624,0.9292740487237963,0.9662887657280683,21.269331216812134,0.0532069206237793,0.54875696,0.52101433,0.0033
mnist,tsne,0,777,63.31312928989956,0.8531944984990656,0.8716285932565849,0.9170169595953992,0.9662858719679029,77.81015729904175,0.05198812484741211,7.0113106,6.289918,0.029100000000000004
fmnist,umap,0,777,0.2567514525141035,0.9274683198780768,0.9383458486101134,0.9611027241058105,0.9840328154154779,45.73760414123535,0.05012083053588867,0.7143269,0.6757437,0.08049999999999999
fmnist,tsne,0,777,34.078140773228235,0.9256142993786611,0.9435161085457963,0.9631386289241695,0.9849106672000607,60.66055130958557,0.054290056228637695,9.5132885,8.78871,0.06714999999999999
blobs,umap,0,777,0.4957788288593292,0.8739710236440976,0.8810723906924635,0.962215088282504,0.963916532905297,2.230461835861206,0.015065908432006836,0.5179735,0.0472447,0.0
blobs,tsne,0,777,8.363738059997559,0.9151240854619184,0.9098574364289179,0.9637078651685393,0.9670304975922953,2.2144601345062256,0.014158487319946289,2.009292,0.17975329,0.0
har,umap,0,777,0.5481839213523901,0.9000840059193056,0.9072101120191947,0.9454721558846623,0.9598048724824556,15.945997714996338,0.025449514389038086,0.3408095,0.08742734,0.0
har,tsne,0,777,32.62030823131306,0.8785380353758481,0.8845229722091367,0.9499604691537139,0.9643528216330179,17.129597902297974,0.026901721954345703,4.582257,0.7828965,0.042416666666666665
mnist,umap,1,778,0.6127162054606846,0.8657386099976475,0.8674899928127247,0.9373397700760087,0.9689335077570876,82.11508440971375,0.05292105674743652,0.47175917,0.4304338,0.01775
mnist,tsne,1,778,58.46965165492467,0.8556811398120431,0.8716360643487715,0.921910976724357,0.9676908115084637,143.48542308807373,0.04983353614807129,8.680258,8.277179,0.004200000000000001
fmnist,umap,1,778,0.3193350123337337,0.9265549559226397,0.9358332173369088,0.9618305763283994,0.9831062836352169,58.28791093826294,0.05301332473754883,0.47292367,0.41293603,0.0486
fmnist,tsne,1,778,27.210662070138113,0.9278040553026389,0.9425078071372801,0.9669033933791001,0.9842178905043202,150.38666820526123,0.04999852180480957,8.665062,7.518422,0.11735
blobs,umap,1,778,0.5784722566604614,0.8913657968740658,0.874925761778951,0.9583788121990369,0.9608507223113965,2.499384641647339,0.014091730117797852,0.5117309,0.05218459,0.0
blobs,tsne,1,778,6.467072486877441,0.9162320000972379,0.9212263430253586,0.9676083467094703,0.9708828250401285,2.2517175674438477,0.014550924301147461,2.14682,0.23047908,0.0
har,umap,1,778,0.512215903438953,0.8893439126792241,0.8992445619281924,0.9419562199273501,0.9597535231357335,12.59974718093872,0.02536606788635254,0.42688262,0.16316618,0.007583333333333333
har,tsne,1,778,29.273038529285984,0.8745752317239384,0.8802420776919123,0.9477245990539765,0.964206652593142,13.944425821304321,0.029272079467773438,4.2281327,0.83053637,0.002916666666666667
mnist,umap,2,779,0.6360459414890834,0.8618914573484532,0.865310527877038,0.9328255042179986,0.9675145286616578,60.78484559059143,0.05229997634887695,0.38818654,0.35892007,0.00215
mnist,tsne,2,779,61.46152724347796,0.8524761906750329,0.8724538933738546,0.9166819375052926,0.9669089706565127,132.66734433174133,0.051947593688964844,12.248969,11.663811,0.11120000000000001
fmnist,umap,2,779,0.33691418591567446,0.9252467060548007,0.9381739356752092,0.9585415536367645,0.9835589161977568,32.470643281936646,0.05236029624938965,1.0638491,1.0275133,0.18605
fmnist,tsne,2,779,26.914697378976005,0.9272596488099638,0.9422333749191886,0.9669258455707366,0.9840801434323908,129.2351257801056,0.051825523376464844,9.835115,8.686589,0.1416
blobs,umap,2,779,0.8163596987724304,0.8743362070762964,0.8853492043673669,0.9633868378812199,0.966677367576244,1.9804272651672363,0.011900186538696289,0.51818657,0.04022804,0.0
blobs,tsne,2,779,9.265613555908203,0.9129399983511629,0.9153507713032976,0.9653772070626003,0.9704173354735153,2.730576753616333,0.015482425689697266,2.1848297,0.20768325,0.0
har,umap,2,779,0.3570465062583221,0.8897447891292701,0.8989155437725118,0.9393329203650422,0.9595808643535009,13.550668001174927,0.02761077880859375,0.3993782,0.11186143,0.0
har,tsne,2,779,27.12120483872037,0.8782259877957354,0.8836751035184371,0.9494126069438444,0.9630833516723858,25.372657775878906,0.02734661102294922,3.4795837,0.7129471,0.0013333333333333333
mnist,umap,3,780,0.7036397500719342,0.8646062727791839,0.866188077983199,0.9319476582734968,0.966178954683891,74.40170335769653,0.051349639892578125,0.7205348,0.6893935,0.03265
mnist,tsne,3,780,55.33713293892997,0.8546033643286873,0.8729719141877147,0.9187399557905864,0.9671492695518614,162.48091769218445,0.05311179161071777,8.714484,8.247569,0.034100000000000005
fmnist,umap,3,780,0.28797648290225436,0.9305109395106979,0.9385490674642164,0.9646130741894697,0.9844771287825475,69.87811493873596,0.050398826599121094,1.0350623,0.9927766,0.11245000000000001
fmnist,tsne,3,780,30.14900004359654,0.9278720234988995,0.9438948777674102,0.9665197876546526,0.9851121237162772,115.75754070281982,0.052620887756347656,6.037876,5.0544033,0.040799999999999996
blobs,umap,3,780,0.43581321835517883,0.8837962319903779,0.9063772150441499,0.9652648475120386,0.9669823434991974,3.2811713218688965,0.01730966567993164,0.45845565,0.03613756,0.0
blobs,tsne,3,780,5.912216663360596,0.9220932364301792,0.9235850593337209,0.9703852327447833,0.9762439807383627,2.649578332901001,0.013279914855957031,2.2034364,0.19252293,0.0
har,umap,3,780,0.30087930293596565,0.884841126602961,0.8939479458240807,0.9387555798264989,0.9554051300442582,14.227826833724976,0.02562737464904785,0.42709434,0.0621452,0.02075
har,tsne,3,780,25.346659119214742,0.8748433406355918,0.8799705143220661,0.9518556404132943,0.96538755172292,23.165263414382935,0.02582859992980957,4.0042977,0.4570668,0.018
mnist,umap,4,781,0.7459875673566546,0.8638647167724738,0.8643863220563837,0.93290807420407,0.965794277304569,90.2625982761383,0.05028390884399414,0.49273387,0.46177205,0.037
mnist,tsne,4,781,66.13386494663783,0.8544679599984477,0.8715142473494069,0.9181400743442318,0.9664255375064605,71.84221816062927,0.051275014877319336,9.221557,8.101675,0.042800000000000005
fmnist,umap,4,781,0.2745331642968314,0.9294455308503609,0.9405074561450231,0.962835657198922,0.9853226381982182,72.47725105285645,0.05250382423400879,0.48232704,0.44175452,0.07055
fmnist,tsne,4,781,26.32120144871303,0.9286131690124623,0.9438969767497781,0.9687532127745934,0.9850897182452892,134.3608841896057,0.050830841064453125,6.8137903,6.1260877,0.0086
blobs,umap,4,781,0.4405345916748047,0.8803937388285155,0.8900180456268337,0.9657624398073836,0.9691653290529695,2.090238094329834,0.017565011978149414,0.48985344,0.065880254,0.0
blobs,tsne,4,781,6.703840732574463,0.9154443007658977,0.9171051221866067,0.9663081861958267,0.9699357945425361,1.572918176651001,0.013798713684082031,2.1883492,0.21935304,0.0
