dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.7801550157410758,0.8617200122579353,0.8650949045044897,0.9309874876263282,0.9656487308043835,16.591307640075684,0.051682233810424805,1.4733387,1.4072994,0.22105000000000002
mnist,tsne,0,777,61.54269421822684,0.8545650705619092,0.8709121794778707,0.9209356481467963,0.9657770344652383,61.46948027610779,0.05287528038024902,26.673868,26.238907,0.42329999999999995
fmnist,umap,0,777,0.29135436347552707,0.9272796463038525,0.9375635170529738,0.9613538446713641,0.9837812743640881,32.285752058029175,0.05168914794921875,1.1502151,1.1185546,0.12915
fmnist,tsne,0,777,34.67379336111886,0.9251637796364023,0.9421312056349819,0.9643586014173877,0.9843111098782051,45.892967224121094,0.051102399826049805,11.9478035,10.087202,0.28745
blobs,umap,0,777,0.434405118227005,0.8800062574151507,0.8810284028467963,0.9646709470304976,0.965585874799358,1.301480770111084,0.01716780662536621,0.56405324,0.043085515,0.0
blobs,tsne,0,777,6.503637313842773,0.9128534845807674,0.9087291185493909,0.9632584269662922,0.9663563402889246,1.8840339183807373,0.015208721160888672,2.3419979,0.34640998,0.0
har,umap,0,777,0.5150138708599323,0.8993026072185288,0.9065133898920842,0.9438882051365648,0.9594751770737393,10.233006238937378,0.030545949935913086,0.44911978,0.0725167,0.00325
har,tsne,0,777,24.05768474945157,0.8756917177485728,0.8800868713293081,0.9523415573794989,0.9633354796816884,19.18651580810547,0.025377511978149414,4.740036,0.82510906,0.033249999999999995
mnist,umap,1,778,0.6679494168417794,0.8655745401136641,0.8670946986279738,0.9381287241466911,0.9684599618642706,64.17009687423706,0.04953312873840332,1.4820657,1.374837,0.20814999999999997
mnist,tsne,1,778,58.678649623325896,0.8579294965370902,0.871030093710765,0.9255945698926301,0.9669905887093713,98.74144577980042,0.051731109619140625,25.525555,25.055866,0.32735
fmnist,umap,1,778,0.34163307077544075,0.9274502490955734,0.9349017410710335,0.9646588166243748,0.9827506372988457,45.389479637145996,0.0531158447265625,0.66888857,0.5776052,0.10515
fmnist,tsne,1,778,31.94271750313895,0.9271524881799731,0.942027848131642,0.9661248609330697,0.9838329766017152,67.04211902618408,0.05302238464355469,12.107186,10.884087,0.15985
blobs,umap,1,778,0.5246706604957581,0.8911422283361773,0.8747408368322359,0.9582985553772071,0.961123595505618,0.7918589115142822,0.01058650016784668,0.524644,0.039224327,0.0
blobs,tsne,1,778,5.267384052276611,0.9162936955074528,0.9204540480195671,0.9673996789727127,0.9710112359550562,1.1989216804504395,0.01437067985534668,2.4000072,0.24793819,0.0
har,umap,1,778,0.517419189792831,0.8891324044001624,0.8995434692535115,0.9401790978272977,0.9591642282519215,9.819037199020386,0.025296688079833984,0.47460398,0.12231871,0.022750000000000003
har,tsne,1,778,28.681690184614475,0.8731818271421301,0.8781552253139656,0.9481315901724414,0.9641089801585038,13.447061538696289,0.028432369232177734,5.173676,1.3202091,0.014416666666666668
mnist,umap,2,779,0.6909965152059283,0.8641403944919896,0.8650348919718996,0.9369886293621755,0.967071832997042,62.91782855987549,0.05013012886047363,1.2980692,1.241823,0.21965000000000004
mnist,tsne,2,779,61.07584228515625,0.8547294298876852,0.8716054677438607,0.9198512093347856,0.9667227187913369,56.31477975845337,0.049138545989990234,28.367609,28.065414,0.27959999999999996
fmnist,umap,2,779,0.2728206822361265,0.9275255984902816,0.9385518168094259,0.9608956348314115,0.9836385865835818,31.09080743789673,0.04968523979187012,1.1111681,1.026655,0.16065000000000002
fmnist,tsne,2,779,29.419323069981168,0.9271876453628458,0.9421398855027082,0.9666956996563112,0.9836644873430843,87.11714744567871,0.05154895782470703,16.330637,15.1539,0.25434999999999997
blobs,umap,2,779,0.651012122631073,0.8774412278400071,0.8878222835811981,0.9650240770465489,0.9687961476725522,2.1317529678344727,0.012684822082519531,0.55686337,0.025864834,0.0
blobs,tsne,2,779,10.000017166137695,0.9141304920198156,0.9142374983795454,0.9656821829855537,0.9688282504012841,0.8780837059020996,0.012891769409179688,2.2220802,0.17022128,0.0
har,umap,2,779,0.3746396031747387,0.8910977019929285,0.9000808700419464,0.9395448383038958,0.9596252856137606,8.207542181015015,0.025518417358398438,0.44273397,0.12327748,0.0010833333333333335
har,tsne,2,779,28.809115873275744,0.8755101533354426,0.8825543658260536,0.947330377349776,0.9619087014049073,12.147538185119629,0.025432825088500977,4.2979817,0.7596503,0.01475
mnist,umap,3,780,0.7592803719554628,0.865328004178074,0.8654246329814664,0.9336700500202942,0.9653581342109029,57.70261240005493,0.05237174034118652,1.1024237,1.0674082,0.14309999999999998
mnist,tsne,3,780,56.508633021763394,0.8571595653286405,0.8724079012440082,0.9225758086322238,0.9665347032216807,73.99984240531921,0.05294609069824219,28.390163,28.139978,0.305
fmnist,umap,3,780,0.3434070177078247,0.9277660217126222,0.938178288023996,0.9616944002382753,0.9841507003717211,37.70257782936096,0.05123710632324219,1.2902073,1.2152591,0.11644999999999998
fmnist,tsne,3,780,31.669987315586635,0.9265215873908527,0.9424409865614499,0.9667072104560811,0.9845196241323829,59.451101779937744,0.053066253662109375,9.509424,7.7596755,0.09285
blobs,umap,3,780,0.3707958459854126,0.8885219115641906,0.908623992156232,0.9654253611556982,0.9681861958266452,1.0477187633514404,0.02230215072631836,0.48877287,0.039134305,0.0
blobs,tsne,3,780,7.147465705871582,0.9224483207960535,0.9274403762985456,0.9707223113964687,0.9747030497592295,1.1760632991790771,0.0260465145111084,2.3271286,0.18215337,0.0
har,umap,3,780,0.2946732494434492,0.8824787651769647,0.8928005132147869,0.9361305142813673,0.9544066705246599,5.779305458068848,0.025617599487304688,0.5064134,0.072248526,0.03158333333333333
har,tsne,3,780,27.321570989347915,0.878166197571562,0.8834655298473534,0.9519459772269723,0.9654944616061749,16.90496563911438,0.027777671813964844,4.7226963,1.1372682,0.018
mnist,umap,4,781,0.7541462396894183,0.8629004374792723,0.8637918090189577,0.9314796954981736,0.9653485214374775,39.71218156814575,0.05151653289794922,1.8319817,1.7914492,0.30610000000000004
mnist,tsne,4,781,66.65438729858398,0.8560020598964623,0.869816904609715,0.9208638531102812,0.9655178633479433,37.42246985435486,0.05196785926818848,23.980387,23.359404,0.36
fmnist,umap,4,781,0.26404303797653744,0.9268500918872783,0.9400163600960648,0.9600281988313998,0.9849101211524816,31.671075344085693,0.05173468589782715,0.53545845,0.46098453,0.05569999999999999
