dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,N/A,0.8771499199056284,0.865968033596111,0.9547794493387568,0.96777831052295,,5.181134223937988,0.10488315,0.06738033,0.0
fmnist,umap,0,777,N/A,0.9357952677915619,0.9380300564565727,0.9743867827285443,0.9837996063785366,,5.4643003940582275,0.14346345,0.11026885,0.0
blobs,umap,0,777,N/A,0.870009327758137,0.8687976797122807,0.9584430176565008,0.9565650080256822,,6.179275035858154,0.5725069,0.1895378,0.0
har,umap,0,777,N/A,0.9063328078034735,0.9026729519865007,0.9601230210804012,0.9565792369324063,,3.838625192642212,0.12982608,0.07502067,0.0
mnist,umap,1,778,N/A,0.8775448228127821,0.8683564615365907,0.9550170880771826,0.970585695889459,,5.154969930648804,0.09221274,0.044822875,0.0
fmnist,umap,1,778,N/A,0.934641408625463,0.9351344249221145,0.9752341697302759,0.982495186313186,,5.6815571784973145,0.23561218,0.19287574,0.02445
blobs,umap,1,778,N/A,0.8908075084116757,0.8787822191082796,0.9614927768860353,0.9636276083467095,,6.063490867614746,0.73793167,0.32813972,0.0
har,umap,1,778,N/A,0.8979622662001455,0.8982982026618933,0.9570363547941,0.9590085500737637,,3.1050288677215576,0.11976571,0.094106704,0.0
mnist,umap,2,779,N/A,0.8757611352871677,0.8646768228169891,0.9540702036144262,0.9674051789838843,,5.391932249069214,0.089866586,0.047894884,0.0
fmnist,umap,2,779,N/A,0.9360432089573046,0.9380036905138838,0.9751578953515875,0.9835880465220858,,5.489125490188599,0.22395954,0.19009715,5e-05
blobs,umap,2,779,N/A,0.8697500663884125,0.8731083635887753,0.9618619582664526,0.9598234349919743,,5.972697496414185,0.7905607,0.31019014,0.0
har,umap,2,779,N/A,0.8995938520232478,0.8981474424380317,0.9585508888327396,0.9588053262041966,,3.596153974533081,0.1573026,0.11458782,0.0
mnist,umap,3,780,N/A,0.8789735592184694,0.8665651107112353,0.9549956140991237,0.968326443011029,,5.240997552871704,0.09442264,0.043750454,0.0006000000000000001
fmnist,umap,3,780,N/A,0.9369292238613505,0.9379926285213255,0.9750329409772207,0.9841844589602904,,6.4881134033203125,0.16228305,0.12245115,0.00065
blobs,umap,3,780,N/A,0.8869837154844751,0.900038178639661,0.9665971107544141,0.9667897271268058,,6.050652027130127,0.71224517,0.23566501,0.0
har,umap,3,780,N/A,0.8945836781269324,0.8926786404519151,0.9595045195575805,0.9559726897548544,,3.896550416946411,0.11758547,0.063877605,0.00025
mnist,umap,4,781,N/A,0.877976310696383,0.8643270968657499,0.9542628737286873,0.9661074487313884,,5.201251268386841,0.1069515,0.079921365,0.0014500000000000001
fmnist,umap,4,781,N/A,0.9365760464391564,0.9397121672128869,0.9752772228078526,0.9849211209451587,,6.061943769454956,0.11575595,0.07598336,0.0
blobs,umap,4,781,N/A,0.8804423108058298,0.883696887819131,0.9656821829855537,0.9657784911717496,,6.008939027786255,0.81236064,0.34544373,0.0
har,umap,4,781,N/A,0.9038037933937577,0.8981190029333079,0.9644697840338852,0.9586432633189066,,3.0232248306274414,0.2713733,0.17532706,0.05633333333333334
mnist,umap,5,782,N/A,0.877831260885775,0.8638327475919333,0.9556562791091541,0.9672945882888855,,5.150865316390991,0.08887385,0.058754552,0.0
fmnist,umap,5,782,N/A,0.9362598652020268,0.9383279367442938,0.9745986024686023,0.9831419460902118,,5.5095179080963135,0.15444267,0.10479585,0.00785
blobs,umap,5,782,N/A,0.8734120212094514,0.8799202233526406,0.9659229534510433,0.9640770465489567,,6.0155699253082275,0.6670016,0.27287328,0.0
har,umap,5,782,N/A,0.9093020245919384,0.9053409756573028,0.9620369389268801,0.9599681579712389,,3.453270196914673,0.20320791,0.1544994,8.333333333333333e-05
mnist,umap,6,783,N/A,0.8773972493849871,0.8651243071409216,0.9550098668169514,0.9666763427076368,,5.103773593902588,0.082895085,0.042371146,0.0
fmnist,umap,6,783,N/A,0.9379012116802581,0.9407580544663184,0.9765292836264567,0.984688802520579,,5.5306994915008545,0.32262924,0.28659204,0.08775000000000001
blobs,umap,6,783,N/A,0.9164684364243787,0.9195298819971661,0.9637720706260032,0.9621027287319422,,6.064431190490723,0.63450205,0.25072652,0.0
har,umap,6,783,N/A,0.8950174200616225,0.8973003777326212,0.9580153885026368,0.9575949487457447,,4.523782253265381,0.20969336,0.14857613,0.006583333333333333
mnist,umap,7,784,N/A,0.8780898643808083,0.8672587024928131,0.95458564624877,0.9668866527867407,,5.031166076660156,0.08911826,0.057757717,0.0
fmnist,umap,7,784,N/A,0.9337954445830402,0.9359698171300874,0.9733668884924123,0.9827128870148718,,6.337190389633179,0.19730291,0.16100691,0.028499999999999998
blobs,umap,7,784,N/A,0.8876312694151889,0.8995891074591362,0.9536276083467095,0.9492295345104333,,5.948362350463867,0.79722893,0.29293472,0.0
har,umap,7,784,N/A,0.9073372015496266,0.9042567736282575,0.9626112908791062,0.9581922584746799,,3.1232802867889404,0.15272383,0.113547325,0.00016666666666666666
mnist,umap,8,785,N/A,0.8784521532514208,0.8647522167581863,0.9543031060471119,0.9658779043453123,,5.1767003536224365,0.12613484,0.094188444,0.00425
fmnist,umap,8,785,N/A,0.9359532514757588,0.9380180452667107,0.9755139271333086,0.98418302522039,,5.4953553676605225,0.16197562,0.11922713,0.0062
blobs,umap,8,785,N/A,0.9090985385979486,0.9066127758272952,0.961107544141252,0.9620224719101124,,5.904550313949585,0.6218126,0.1649376,0.0
har,umap,8,785,N/A,0.9040016159068449,0.9028120317123532,0.9606878638943454,0.9576913985768896,,3.4988701343536377,0.6525908,0.397769,0.03725
mnist,umap,9,786,N/A,0.8786652966126024,0.8656831878906882,0.9533767932698906,0.9665559435964971,,5.35129189491272,0.08754959,0.050334096,0.0
fmnist,umap,9,786,N/A,0.9362730290752186,0.936744196662969,0.9762122314657727,0.9838027016214985,,5.963304281234741,0.14750114,0.10406594,0.00025
blobs,umap,9,786,N/A,0.8810803003936225,0.8996302560840045,0.9653772070626003,0.9663884430176565,,5.956535577774048,0.68195695,0.2598938,0.0
har,umap,9,786,N/A,0.8783831194037384,0.8670300131846117,0.9614703301301122,0.9561992789356286,,3.844155788421631,0.26180163,0.118887536,0.006416666666666667
